Код студента,Фамилия,Код группы,Почта группы,Проект,Код проекта,Код задания
1,Белозёров,1,1@edu.hse.ru,Медиацентр,1,1
4,Савенко,4,4@edu.hse.ru,Лазерная резка,4,1
5,Несвитайло,5,5@edu.hse.ru,Ардуино,5,1
6,Ильин,6,6@edu.hse.ru,Линукс,6,1
7,Беляков,7,7@edu.hse.ru,Веб сайт,7,1
8,Брагин,8,8@edu.hse.ru,Чат-бот,8,1
11,Александров,3,3@edu.hse.ru,Медиацентр,1,2
14,Андрусейко,6,6@edu.hse.ru,Лазерная резка,4,2
15,Баранов,7,7@edu.hse.ru,Ардуино,5,2
16,Терещенко,8,8@edu.hse.ru,Линукс,6,2
17,Волкова,1,1@edu.hse.ru,Веб сайт,7,2
18,Белоусов,2,2@edu.hse.ru,Чат-бот,8,2
19,Богданова,3,3@edu.hse.ru,Разработка игры,9,2
20,Бердник,4,4@edu.hse.ru,Web дизайн,10,2
21,Бобров,5,5@edu.hse.ru,Медиацентр,1,3
22,Васильев,6,6@edu.hse.ru,Робототехника,2,3
23,Власов,7,7@edu.hse.ru,Майнинг,3,3
24,Волков,8,8@edu.hse.ru,Лазерная резка,4,3
25,Воробьёв,1,1@edu.hse.ru,Ардуино,5,3
26,Выговский,2,2@edu.hse.ru,Линукс,6,3
27,Гаврилов,3,3@edu.hse.ru,Веб сайт,7,3
28,Гамула,4,4@edu.hse.ru,Чат-бот,8,3
29,Герасимов,5,5@edu.hse.ru,Разработка игры,9,3
30,Горбачёв,6,6@edu.hse.ru,Web дизайн,10,3
31,Грабчак,7,7@edu.hse.ru,Медиацентр,1,4
31,Грабчак,7,7@edu.hse.ru,Робототехника,2,4
32,Гребневский,8,8@edu.hse.ru,Майнинг,3,4
33,Дементьев,1,1@edu.hse.ru,Лазерная резка,4,4
34,Дмитриев,2,2@edu.hse.ru,Ардуино,5,4
35,Дубченко,3,3@edu.hse.ru,Линукс,6,4
36,Дьячков,4,4@edu.hse.ru,Веб сайт,7,4
37,Емельянов,5,5@edu.hse.ru,Чат-бот,8,4
38,Ефимов,6,6@edu.hse.ru,Разработка игры,9,4
39,Жуков,7,7@edu.hse.ru,Web дизайн,10,4
40,Зайцев,8,8@edu.hse.ru,Медиацентр,1,5
41,Захарченко,1,1@edu.hse.ru,Робототехника,2,5
42,Зварыч,2,2@edu.hse.ru,Майнинг,3,5
42,Зварыч,2,2@edu.hse.ru,Лазерная резка,4,5
43,Игнатов,3,3@edu.hse.ru,Ардуино,5,5
44,Капустин,4,4@edu.hse.ru,Линукс,6,5
45,Карпенко-Карый,5,5@edu.hse.ru,Веб сайт,7,5
46,Ковалёв,6,6@edu.hse.ru,Чат-бот,8,5
47,Коломоец,7,7@edu.hse.ru,Разработка игры,9,5
47,Коломоец,7,7@edu.hse.ru,Web дизайн,10,5
48,Корнейчук,8,8@edu.hse.ru,Медиацентр,1,6
49,Королёв,1,1@edu.hse.ru,Робототехника,2,6
50,Кравченко,2,2@edu.hse.ru,Майнинг,3,6
51,Кравчук,3,3@edu.hse.ru,Лазерная резка,4,6
52,Красильников,4,4@edu.hse.ru,Ардуино,5,6
53,Крылов,5,5@edu.hse.ru,Линукс,6,6
54,Крюков,6,6@edu.hse.ru,Веб сайт,7,6
55,Кузнецов,7,7@edu.hse.ru,Чат-бот,8,6
56,Куликов,8,8@edu.hse.ru,Разработка игры,9,6
56,Куликов,8,8@edu.hse.ru,Web дизайн,10,6
57,Лобанов,1,1@edu.hse.ru,Медиацентр,1,7
58,Лукашенко,2,2@edu.hse.ru,Робототехника,2,7
59,Маслов,3,3@edu.hse.ru,Майнинг,3,7
60,Мясников,4,4@edu.hse.ru,Лазерная резка,4,7
61,Суворова,5,5@edu.hse.ru,Ардуино,5,7
62,Нестеров,6,6@edu.hse.ru,Линукс,6,7
63,Николаев,7,7@edu.hse.ru,Веб сайт,7,7
64,Одинцов,8,8@edu.hse.ru,Чат-бот,8,7
65,Орехов,1,1@edu.hse.ru,Разработка игры,9,7
66,Орлов,2,2@edu.hse.ru,Web дизайн,10,7
67,Острожский,3,3@edu.hse.ru,Медиацентр,1,8
68,Павлив,4,4@edu.hse.ru,Робототехника,2,8
69,Пахомов,5,5@edu.hse.ru,Майнинг,3,8
70,Петренко,6,6@edu.hse.ru,Лазерная резка,4,8
71,Повалий,7,7@edu.hse.ru,Ардуино,5,8
72,Поляков,8,8@edu.hse.ru,Линукс,6,8
72,Поляков,8,8@edu.hse.ru,Веб сайт,7,8
73,Посидайло,1,1@edu.hse.ru,Чат-бот,8,8
74,Притула,2,2@edu.hse.ru,Разработка игры,9,8
75,Прохоров,3,3@edu.hse.ru,Web дизайн,10,8
76,Рымар,4,4@edu.hse.ru,Медиацентр,1,9
77,Рябов,5,5@edu.hse.ru,Робототехника,2,9
77,Рябов,5,5@edu.hse.ru,Майнинг,3,9
78,Савенко,6,6@edu.hse.ru,Лазерная резка,4,9
79,Савин,7,7@edu.hse.ru,Ардуино,5,9
80,Сасько,8,8@edu.hse.ru,Линукс,6,9
80,Сасько,8,8@edu.hse.ru,Веб сайт,7,9
81,Сафонов,1,1@edu.hse.ru,Чат-бот,8,9
82,Селезнёв,2,2@edu.hse.ru,Разработка игры,9,9
83,Сердюк,3,3@edu.hse.ru,Web дизайн,10,9
84,Ситников,4,4@edu.hse.ru,Медиацентр,1,10
85,Скоропадский,5,5@edu.hse.ru,Робототехника,2,10
85,Скоропадский,5,5@edu.hse.ru,Майнинг,3,10
86,Соловьёв,6,6@edu.hse.ru,Лазерная резка,4,10
86,Соловьёв,6,6@edu.hse.ru,Ардуино,5,10
87,Сусаренко,7,7@edu.hse.ru,Линукс,6,10
88,Тихонов,8,8@edu.hse.ru,Веб сайт,7,10
89,Туров,1,1@edu.hse.ru,Чат-бот,8,10
90,Устинов,2,2@edu.hse.ru,Разработка игры,9,10
91,Фёдоров,3,3@edu.hse.ru,Web дизайн,10,10
92,Федосеев,4,4@edu.hse.ru,Медиацентр,1,11
93,Чернов,5,5@edu.hse.ru,Робототехника,2,11
94,Шамрыло,6,6@edu.hse.ru,Майнинг,3,11
95,Шарапов,7,7@edu.hse.ru,Лазерная резка,4,11
96,Шилов,8,8@edu.hse.ru,Ардуино,5,11
97,Шубин,1,1@edu.hse.ru,Линукс,6,11
98,Яценюк,2,2@edu.hse.ru,Веб сайт,7,11
98,Яценюк,2,2@edu.hse.ru,Чат-бот,8,11
99,Гусева,3,3@edu.hse.ru,Разработка игры,9,11
